Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760877735879,29802.840759277344,1300,2,0.85625,42744.4608001709,3250,1,0.85625,34865.304611206055,1300,2,0.85625,31028.571548461914,1300,2,0.85625,33888.826431274414,1300,2,0.85625,44459.35437011719,1300,2,0.85625,38684.87619018555,1300,2,0.85625,37017.51133728027,1300,2,0.85625,245634.56784057617,4134,2132,2303,400,1601,1296,400,400,2262,1842,400,1640,1604,3873,400,3248,7.317072868347168,11.904762268066406,7.500000476837158,7.317072868347168,4.878048419952393,7.317072868347168,14.285715103149414,7.500000476837158,6.976744651794434,7.317072868347168,5,12.195121765136719,7.317072868347168,7.317072868347168,5,9.523809432983398,32899801088,8589930496,8788561920,1825267712
199,1760877735880,29802.840759277344,1300,2,0.7375,42744.4617767334,3250,1,0.7375,34865.30628967285,3250,1,0.7375,31028.57159423828,1300,2,0.7375,33888.8264465332,1300,2,0.7375,44459.35438537598,1300,2,0.7375,38684.87619018555,1300,2,0.7375,37017.51135253906,1300,2,0.7375,245634.5759124756,4134,2132,2303,400,1601,1296,400,400,2262,1842,400,1640,1604,3873,400,3248,7.317072868347168,11.904762268066406,7.500000476837158,7.317072868347168,4.878048419952393,7.317072868347168,14.285715103149414,7.500000476837158,6.976744651794434,7.317072868347168,5,12.195121765136719,7.317072868347168,7.317072868347168,5,9.523809432983398,32899801088,8589930496,8788938752,1825267712
199,1760877736080,29802.848236083984,1930,2,0.25,42746.3479309082,4825,0,0.25,34865.47415161133,4825,0,0.25,31028.621795654297,4825,0,0.25,33888.87664794922,1930,2,0.25,44459.51133728027,4825,0,0.25,38684.90930175781,1930,2,0.25,37017.54164123535,1930,2,0.25,245639.26667785645,4134,2132,2303,400,1601,1296,400,400,2262,1842,400,1640,1604,3873,400,3248,0,94.73684692382813,0,0,0,5,0,0,5,0,0,0,0,0,0,0,32899801088,8589930496,8788938752,1825267712
199,1760877736280,29802.857177734375,2000,2,0.08125000000000004,42748.59423828125,2222.222222222222,1,0.08125000000000004,34865.51811218262,5000,0,0.08125000000000004,31028.631118774414,2000,2,0.08125000000000004,33888.885986328125,2000,2,0.08125000000000004,44459.55400085449,2000,2,0.08125000000000004,38684.920318603516,2000,2,0.08125000000000004,37017.54985046387,2000,2,0.08125000000000004,245643.3787536621,4134,2132,2303,400,1601,1296,400,400,2262,1842,400,1640,1604,3873,400,3248,0,94.73684692382813,0,0,0,5,0,0,5,0,0,0,0,0,0,0,32899801088,8589930496,8789057536,1825267712
199,1760877736480,29802.89178466797,2000,2,0.10624999999999996,42750.69725036621,5000,0,0.10624999999999996,34865.7780456543,2000,2,0.10624999999999996,31028.65003967285,5000,0,0.10624999999999996,33888.9522857666,2000,2,0.10624999999999996,44459.6145324707,2000,2,0.10624999999999996,38684.994201660156,2000,2,0.10624999999999996,37017.57110595703,2000,2,0.10624999999999996,245647.54467773438,4134,2132,2303,400,1601,1296,400,400,2262,1842,400,1640,1604,3873,400,3248,2.4390242099761963,58.536582946777344,0,0,0,0,0,0,5.128205299377441,0,0,2.5,2.5,0,0,35.897438049316406,32899801088,8589930496,8779743232,1825267712
199,1760877736680,29802.898559570313,1920,2,0.26875000000000004,42752.766677856445,4800,0,0.26875000000000004,34865.86738586426,4800,0,0.26249999999999996,31028.673309326172,4800,0,0.26249999999999996,33889.06007385254,2400,1,0.26249999999999996,44459.82130432129,1920,2,0.26249999999999996,38685.06120300293,4800,0,0.26249999999999996,37017.59559631348,1920,2,0.26249999999999996,245652.9071044922,4134,2132,2303,400,1601,1296,400,400,2262,1842,400,1640,1604,3873,400,3248,0,0,0,0,0,10.526315689086914,0,0,0,0,4.761904716491699,0,0,4.761904716491699,0,100,32899801088,8589930496,8786173952,1825267712
199,1760877736880,29802.92320251465,2010.0000000000002,2,0.09375,42754.78828430176,5025,0,0.09375,34865.89796447754,5025,0,0.09375,31028.68637084961,2010.0000000000002,2,0.09375,33889.07356262207,5025,0,0.09375,44459.83544921875,5025,0,0.09375,38685.06874084473,5025,0,0.09375,37017.602798461914,2010.0000000000002,2,0.09375,245656.5665588379,4134,2132,2303,400,1601,1296,400,400,2262,1842,400,1640,1604,3873,400,3248,0,0,0,0,4.761904716491699,0,0,0,4.761904716491699,0,4.761904716491699,0,0,0,0,100,32899801088,8589930496,8848793600,1825267712
199,1760877737080,29802.93067932129,2020,2,0.13124999999999987,42756.697006225586,5050,0,0.13124999999999987,34865.950775146484,2020,2,0.13124999999999987,31028.694274902344,2020,2,0.13124999999999987,33889.10025024414,2020,2,0.13124999999999987,44459.99198913574,2020,2,0.13124999999999987,38685.10023498535,2020,2,0.13124999999999987,37017.61639404297,2010.0000000000002,2,0.13124999999999987,245660.8777923584,4134,2132,2303,400,1601,1296,400,400,2262,1842,400,1640,1604,3873,400,3248,0,0,0,0,4.761904716491699,0,0,0,4.761904716491699,0,4.761904716491699,0,0,0,0,100,32899801088,8589930496,8848793600,1825267712
199,1760877737280,29802.96453857422,1930,2,0.2437499999999999,42758.69256591797,4825,0,0.2437499999999999,34866.00276184082,2144.4444444444443,2,0.2437499999999999,31028.725158691406,4825,0,0.2437499999999999,33889.15710449219,2144.4444444444443,2,0.2437499999999999,44460.06950378418,4825,0,0.2437499999999999,38685.15168762207,4825,0,0.2437499999999999,37017.63444519043,1930,2,0.2437499999999999,245665.29598999023,4134,2132,2303,400,1601,1296,400,400,2262,1842,400,1640,1604,3873,400,3248,0,2.5641026496887207,0,0,0,5,0,0,2.5,0,0,4.878048419952393,2.5,0,0,97.56097412109375,32899801088,8589930496,8849051648,1825267712
199,1760877737481,29802.977447509766,2000,2,0.13124999999999987,42760.184799194336,5000,0,0.13124999999999987,34866.05178833008,2000,2,0.13124999999999987,31028.775161743164,5000,0,0.13124999999999987,33889.185287475586,2000,2,0.13124999999999987,44460.14813232422,5000,0,0.13124999999999987,38685.250564575195,5000,0,0.13124999999999987,37017.67851257324,2000,2,0.13124999999999987,245669.20671081543,4134,2132,2303,400,1601,1296,400,400,2262,1842,400,1640,1604,3873,400,3248,0,85,0,0,0,0,0,0,0,0,0,0,5,0,0,10.526315689086914,32899801088,8589930496,8898052096,1825267712
