__run_id,__done,_compiler,_benchmark,execution_time,cpu_usage,memory_usage,energy_consumption
run_7_repetition_5,DONE,pure_python,regex,0.401,4.521,8537481.0,7.214
run_17_repetition_19,DONE,cython,regex,0.401,6.899,8519287.0,7.261
run_3_repetition_8,DONE,pure_python,fft,0.201,13.341,8496410.667,3.896
run_16_repetition_11,DONE,cython,quick_sort,0.401,4.488,8508329.0,5.935
run_28_repetition_19,DONE,swig,sieve,0.201,3.279,8518120.0,1.549
run_7_repetition_4,DONE,pure_python,regex,0.401,4.713,8467214.0,7.222
run_18_repetition_10,DONE,cython,sieve,0.201,3.998,8442749.333,1.463
run_22_repetition_15,DONE,swig,dense_matrix,0.401,22.436,8478149.0,12.032
run_2_repetition_19,DONE,pure_python,dense_matrix,0.201,12.707,8489162.667,3.939
run_19_repetition_9,DONE,cython,nbody,1.802,6.902,8462306.909,40.03
run_21_repetition_2,DONE,swig,convex,0.402,5.169,8491558.0,7.425
run_11_repetition_11,DONE,cython,convex,0.401,12.644,8501694.0,9.294
run_28_repetition_6,DONE,swig,sieve,0.201,3.337,8462942.667,2.302
run_8_repetition_1,DONE,pure_python,sieve,0.601,4.923,8479842.4,10.201
run_29_repetition_8,DONE,swig,nbody,1.601,6.78,8499112.4,39.309
run_5_repetition_14,DONE,pure_python,k_means,3.802,7.355,8485827.048,94.504
run_3_repetition_11,DONE,pure_python,fft,0.201,12.533,8451113.333,4.984
run_19_repetition_2,DONE,cython,nbody,1.602,6.792,8477710.8,38.647
run_22_repetition_2,DONE,swig,dense_matrix,0.4,13.871,8480836.0,11.912
run_20_repetition_19,DONE,swig,bfs,0.201,4.897,8448868.0,2.798
run_12_repetition_15,DONE,cython,dense_matrix,0.201,14.083,8476118.667,3.993
run_14_repetition_5,DONE,cython,json_bench,1.801,6.26,8501651.273,39.56
run_17_repetition_4,DONE,cython,regex,0.402,5.0,8510633.0,7.209
run_25_repetition_15,DONE,swig,k_means,0.2,5.07,8485988.0,3.714
run_16_repetition_12,DONE,cython,quick_sort,0.4,5.74,8474426.0,6.787
run_29_repetition_11,DONE,swig,nbody,1.601,6.347,8496806.0,36.592
run_13_repetition_18,DONE,cython,fft,0.201,12.632,8507126.667,3.536
run_28_repetition_14,DONE,swig,sieve,0.201,3.439,8474237.333,2.181
run_10_repetition_3,DONE,cython,bfs,0.201,5.452,8483176.0,3.738
run_21_repetition_15,DONE,swig,convex,0.401,5.191,8496904.0,7.689
run_2_repetition_1,DONE,pure_python,dense_matrix,0.2,14.556,8484934.667,4.484
run_25_repetition_14,DONE,swig,k_means,0.201,4.912,8488894.667,4.615
run_26_repetition_7,DONE,swig,quick_sort,0.201,5.318,8507764.0,3.649
run_13_repetition_9,DONE,cython,fft,0.2,13.492,8462026.667,4.597
run_11_repetition_9,DONE,cython,convex,0.401,12.588,8476304.0,9.308
run_29_repetition_7,DONE,swig,nbody,1.801,7.002,8493312.727,41.72
run_7_repetition_7,DONE,pure_python,regex,0.401,5.116,8484371.0,7.313
run_3_repetition_0,DONE,pure_python,fft,0.201,11.456,8474882.667,4.37
run_28_repetition_15,DONE,swig,sieve,0.206,3.743,8468448.0,1.503
run_19_repetition_11,DONE,cython,nbody,1.601,6.158,8506806.8,36.805
run_6_repetition_1,DONE,pure_python,quick_sort,1.601,6.226,8508952.4,38.844
run_13_repetition_15,DONE,cython,fft,0.201,12.393,8464942.667,3.744
run_17_repetition_17,DONE,cython,regex,0.4,5.098,8487371.0,7.326
run_2_repetition_15,DONE,pure_python,dense_matrix,0.201,15.057,8464364.0,4.672
run_11_repetition_18,DONE,cython,convex,0.401,12.697,8495429.0,9.752
run_4_repetition_12,DONE,pure_python,json_bench,1.802,6.507,8528685.091,38.213
run_7_repetition_18,DONE,pure_python,regex,0.401,4.746,8534547.0,7.303
run_11_repetition_10,DONE,cython,convex,0.401,12.848,8520358.0,9.466
run_0_repetition_18,DONE,pure_python,bfs,1.0,6.425,8517993.714,22.062
run_18_repetition_4,DONE,cython,sieve,0.201,6.468,8459973.333,3.688
run_18_repetition_7,DONE,cython,sieve,0.201,3.55,8446310.667,1.252
run_18_repetition_12,DONE,cython,sieve,0.201,3.287,8446924.0,2.094
run_28_repetition_8,DONE,swig,sieve,0.2,6.439,8441750.667,4.085
run_19_repetition_14,DONE,cython,nbody,1.601,6.229,8468468.8,37.837
run_2_repetition_4,DONE,pure_python,dense_matrix,0.201,13.819,8461104.0,4.189
run_18_repetition_16,DONE,cython,sieve,0.201,3.499,8472465.333,1.339
run_15_repetition_2,DONE,cython,k_means,0.2,4.096,8477982.667,3.205
run_5_repetition_15,DONE,pure_python,k_means,3.801,7.189,8483194.095,94.593
run_20_repetition_12,DONE,swig,bfs,0.201,4.797,8465396.0,2.841
run_15_repetition_15,DONE,cython,k_means,0.201,4.175,8474848.0,2.729
run_27_repetition_12,DONE,swig,regex,0.201,5.731,8468912.0,4.573
run_25_repetition_18,DONE,swig,k_means,0.201,4.459,8485180.0,3.452
run_15_repetition_7,DONE,cython,k_means,0.201,4.373,8473802.667,3.737
run_8_repetition_7,DONE,pure_python,sieve,0.601,5.378,8474433.6,9.519
run_21_repetition_14,DONE,swig,convex,0.401,6.888,8495732.0,9.911
run_9_repetition_10,DONE,pure_python,nbody,3.802,7.224,8496615.429,93.438
run_9_repetition_4,DONE,pure_python,nbody,3.803,7.062,8481453.905,93.827
run_15_repetition_5,DONE,cython,k_means,0.201,4.845,8469922.667,2.753
run_24_repetition_12,DONE,swig,json_bench,1.401,7.294,8529068.444,31.74
run_2_repetition_7,DONE,pure_python,dense_matrix,0.2,14.129,8527697.333,3.909
run_12_repetition_13,DONE,cython,dense_matrix,0.201,13.768,8470558.667,3.927
run_25_repetition_2,DONE,swig,k_means,0.2,6.95,8471397.333,6.557
run_26_repetition_9,DONE,swig,quick_sort,0.4,3.506,8490894.0,5.393
run_28_repetition_3,DONE,swig,sieve,0.201,4.104,8506414.667,1.497
run_20_repetition_16,DONE,swig,bfs,0.2,7.594,8467388.0,5.556
run_0_repetition_11,DONE,pure_python,bfs,1.001,5.463,8506185.143,18.447
run_5_repetition_9,DONE,pure_python,k_means,3.802,7.089,8490272.571,95.215
run_15_repetition_11,DONE,cython,k_means,0.201,5.383,8480084.0,2.831
run_4_repetition_1,DONE,pure_python,json_bench,1.801,6.372,8536482.182,38.45
run_2_repetition_9,DONE,pure_python,dense_matrix,0.2,15.134,8486690.667,4.534
run_0_repetition_0,DONE,pure_python,bfs,1.001,5.754,8532629.714,17.963
run_0_repetition_5,DONE,pure_python,bfs,1.002,6.016,8536747.429,18.729
run_19_repetition_17,DONE,cython,nbody,1.801,6.305,8541824.364,39.186
run_2_repetition_3,DONE,pure_python,dense_matrix,0.201,13.525,8484422.667,3.886
run_29_repetition_15,DONE,swig,nbody,1.601,7.184,8499495.2,38.541
run_10_repetition_14,DONE,cython,bfs,0.202,4.933,8474797.333,3.428
run_8_repetition_13,DONE,pure_python,sieve,0.601,6.385,8502639.2,11.982
run_14_repetition_0,DONE,cython,json_bench,1.801,6.282,8522900.727,38.505
run_26_repetition_15,DONE,swig,quick_sort,0.401,7.285,8529799.0,5.52
run_26_repetition_19,DONE,swig,quick_sort,0.401,3.8,8525430.0,5.336
run_1_repetition_11,DONE,pure_python,convex,4.402,7.348,8505041.667,112.12
run_10_repetition_8,DONE,cython,bfs,0.2,7.578,8475977.333,6.19
run_16_repetition_7,DONE,cython,quick_sort,0.401,4.836,8489463.0,6.013
run_14_repetition_15,DONE,cython,json_bench,2.002,6.879,8513318.667,45.295
run_23_repetition_11,DONE,swig,fft,0.2,12.473,8492910.667,3.785
run_16_repetition_0,DONE,cython,quick_sort,0.401,4.634,8525680.0,6.118
run_16_repetition_4,DONE,cython,quick_sort,0.401,6.551,8519464.0,5.951
run_25_repetition_8,DONE,swig,k_means,0.201,4.737,8518944.0,4.133
run_18_repetition_9,DONE,cython,sieve,0.201,3.454,8501786.667,2.095
run_2_repetition_8,DONE,pure_python,dense_matrix,0.201,13.475,8483122.667,3.949
run_0_repetition_19,DONE,pure_python,bfs,1.001,5.623,8506465.143,18.193
run_0_repetition_9,DONE,pure_python,bfs,1.002,6.923,8501724.571,21.376
run_17_repetition_7,DONE,cython,regex,0.401,4.7,8488736.0,7.393
run_7_repetition_19,DONE,pure_python,regex,0.401,4.862,8475409.0,7.407
run_24_repetition_2,DONE,swig,json_bench,1.401,6.134,8565001.333,29.799
run_21_repetition_0,DONE,swig,convex,0.401,5.266,8564754.0,7.37
run_3_repetition_14,DONE,pure_python,fft,0.2,15.49,8552426.667,4.119
run_23_repetition_17,DONE,swig,fft,0.2,10.444,8494996.0,4.559
run_22_repetition_5,DONE,swig,dense_matrix,0.401,13.858,8519555.0,12.151
run_21_repetition_7,DONE,swig,convex,0.401,4.904,8534924.0,7.428
run_19_repetition_4,DONE,cython,nbody,1.601,6.315,8533670.0,37.549
run_12_repetition_18,DONE,cython,dense_matrix,0.2,15.836,8525845.333,4.672
run_18_repetition_0,DONE,cython,sieve,0.201,3.574,8505485.333,1.359
run_7_repetition_6,DONE,pure_python,regex,0.401,4.715,8516862.0,7.173
run_22_repetition_13,DONE,swig,dense_matrix,0.401,14.665,8527459.0,12.224
run_27_repetition_4,DONE,swig,regex,0.201,5.039,8536293.333,3.642
