__run_id,__done,benchmark_id,benchmark,treatment,repetition,execution_time_s,cpu_util_percent,memory_mb,energy_j,timestamp
run_0,NOT DONE,b1,DenseMatmul-Naive,Python,r1,,,,,
run_1,NOT DONE,b1,DenseMatmul-Naive,Python,r2,,,,,
run_2,NOT DONE,b1,DenseMatmul-Naive,Python,r3,,,,,
run_3,NOT DONE,b1,DenseMatmul-Naive,Python,r4,,,,,
run_4,NOT DONE,b1,DenseMatmul-Naive,Python,r5,,,,,
run_5,NOT DONE,b1,DenseMatmul-Naive,Python,r6,,,,,
run_6,NOT DONE,b1,DenseMatmul-Naive,Python,r7,,,,,
run_7,NOT DONE,b1,DenseMatmul-Naive,Python,r8,,,,,
run_8,NOT DONE,b1,DenseMatmul-Naive,Python,r9,,,,,
run_9,NOT DONE,b1,DenseMatmul-Naive,Python,r10,,,,,
run_10,NOT DONE,b1,DenseMatmul-Naive,Python,r11,,,,,
run_11,NOT DONE,b1,DenseMatmul-Naive,Python,r12,,,,,
run_12,NOT DONE,b1,DenseMatmul-Naive,Python,r13,,,,,
run_13,NOT DONE,b1,DenseMatmul-Naive,Python,r14,,,,,
run_14,NOT DONE,b1,DenseMatmul-Naive,Python,r15,,,,,
run_15,NOT DONE,b1,DenseMatmul-Naive,Python,r16,,,,,
run_16,NOT DONE,b1,DenseMatmul-Naive,Python,r17,,,,,
run_17,NOT DONE,b1,DenseMatmul-Naive,Python,r18,,,,,
run_18,NOT DONE,b1,DenseMatmul-Naive,Python,r19,,,,,
run_19,NOT DONE,b1,DenseMatmul-Naive,Python,r20,,,,,
run_20,NOT DONE,b1,DenseMatmul-Naive,C++/Cython,r1,,,,,
run_21,NOT DONE,b1,DenseMatmul-Naive,C++/Cython,r2,,,,,
run_22,NOT DONE,b1,DenseMatmul-Naive,C++/Cython,r3,,,,,
run_23,NOT DONE,b1,DenseMatmul-Naive,C++/Cython,r4,,,,,
run_24,NOT DONE,b1,DenseMatmul-Naive,C++/Cython,r5,,,,,
run_25,NOT DONE,b1,DenseMatmul-Naive,C++/Cython,r6,,,,,
run_26,NOT DONE,b1,DenseMatmul-Naive,C++/Cython,r7,,,,,
run_27,NOT DONE,b1,DenseMatmul-Naive,C++/Cython,r8,,,,,
run_28,NOT DONE,b1,DenseMatmul-Naive,C++/Cython,r9,,,,,
run_29,NOT DONE,b1,DenseMatmul-Naive,C++/Cython,r10,,,,,
run_30,NOT DONE,b1,DenseMatmul-Naive,C++/Cython,r11,,,,,
run_31,NOT DONE,b1,DenseMatmul-Naive,C++/Cython,r12,,,,,
run_32,NOT DONE,b1,DenseMatmul-Naive,C++/Cython,r13,,,,,
run_33,NOT DONE,b1,DenseMatmul-Naive,C++/Cython,r14,,,,,
run_34,NOT DONE,b1,DenseMatmul-Naive,C++/Cython,r15,,,,,
run_35,NOT DONE,b1,DenseMatmul-Naive,C++/Cython,r16,,,,,
run_36,NOT DONE,b1,DenseMatmul-Naive,C++/Cython,r17,,,,,
run_37,NOT DONE,b1,DenseMatmul-Naive,C++/Cython,r18,,,,,
run_38,NOT DONE,b1,DenseMatmul-Naive,C++/Cython,r19,,,,,
run_39,NOT DONE,b1,DenseMatmul-Naive,C++/Cython,r20,,,,,
run_40,NOT DONE,b1,DenseMatmul-Naive,C++/SWIG,r1,,,,,
run_41,NOT DONE,b1,DenseMatmul-Naive,C++/SWIG,r2,,,,,
run_42,NOT DONE,b1,DenseMatmul-Naive,C++/SWIG,r3,,,,,
run_43,NOT DONE,b1,DenseMatmul-Naive,C++/SWIG,r4,,,,,
run_44,NOT DONE,b1,DenseMatmul-Naive,C++/SWIG,r5,,,,,
run_45,NOT DONE,b1,DenseMatmul-Naive,C++/SWIG,r6,,,,,
run_46,NOT DONE,b1,DenseMatmul-Naive,C++/SWIG,r7,,,,,
run_47,NOT DONE,b1,DenseMatmul-Naive,C++/SWIG,r8,,,,,
run_48,NOT DONE,b1,DenseMatmul-Naive,C++/SWIG,r9,,,,,
run_49,NOT DONE,b1,DenseMatmul-Naive,C++/SWIG,r10,,,,,
run_50,NOT DONE,b1,DenseMatmul-Naive,C++/SWIG,r11,,,,,
run_51,NOT DONE,b1,DenseMatmul-Naive,C++/SWIG,r12,,,,,
run_52,NOT DONE,b1,DenseMatmul-Naive,C++/SWIG,r13,,,,,
run_53,NOT DONE,b1,DenseMatmul-Naive,C++/SWIG,r14,,,,,
run_54,NOT DONE,b1,DenseMatmul-Naive,C++/SWIG,r15,,,,,
run_55,NOT DONE,b1,DenseMatmul-Naive,C++/SWIG,r16,,,,,
run_56,NOT DONE,b1,DenseMatmul-Naive,C++/SWIG,r17,,,,,
run_57,NOT DONE,b1,DenseMatmul-Naive,C++/SWIG,r18,,,,,
run_58,NOT DONE,b1,DenseMatmul-Naive,C++/SWIG,r19,,,,,
run_59,NOT DONE,b1,DenseMatmul-Naive,C++/SWIG,r20,,,,,
run_60,NOT DONE,b2,FFT-1D-Real,Python,r1,,,,,
run_61,NOT DONE,b2,FFT-1D-Real,Python,r2,,,,,
run_62,NOT DONE,b2,FFT-1D-Real,Python,r3,,,,,
run_63,NOT DONE,b2,FFT-1D-Real,Python,r4,,,,,
run_64,NOT DONE,b2,FFT-1D-Real,Python,r5,,,,,
run_65,NOT DONE,b2,FFT-1D-Real,Python,r6,,,,,
run_66,NOT DONE,b2,FFT-1D-Real,Python,r7,,,,,
run_67,NOT DONE,b2,FFT-1D-Real,Python,r8,,,,,
run_68,NOT DONE,b2,FFT-1D-Real,Python,r9,,,,,
run_69,NOT DONE,b2,FFT-1D-Real,Python,r10,,,,,
run_70,NOT DONE,b2,FFT-1D-Real,Python,r11,,,,,
run_71,NOT DONE,b2,FFT-1D-Real,Python,r12,,,,,
run_72,NOT DONE,b2,FFT-1D-Real,Python,r13,,,,,
run_73,NOT DONE,b2,FFT-1D-Real,Python,r14,,,,,
run_74,NOT DONE,b2,FFT-1D-Real,Python,r15,,,,,
run_75,NOT DONE,b2,FFT-1D-Real,Python,r16,,,,,
run_76,NOT DONE,b2,FFT-1D-Real,Python,r17,,,,,
run_77,NOT DONE,b2,FFT-1D-Real,Python,r18,,,,,
run_78,NOT DONE,b2,FFT-1D-Real,Python,r19,,,,,
run_79,NOT DONE,b2,FFT-1D-Real,Python,r20,,,,,
run_80,NOT DONE,b2,FFT-1D-Real,C++/Cython,r1,,,,,
